*BRB  * be right back  *
*ASAP  *  as soon as possible*
*B4  * before*
*B4N  * bye for now *
*L8R  * later *
*tmrw  * tomorrow*
*ETA  * estimated time of arrival*
*GN  * good night*
*AML  * all my love*
*GR8  * great!*
*PLS  * please *
*GTG  * got to go *
*IDK  * i don't know *
*JK  * just kidding *
*LMK  * let me know*
*THX  * thanks*
*TTYL  * talk to you later *
*ROFL  * rolling on the floor laughing*
*BRT  * be right there*
*PCM  * please call me*
*IYKWIM  * if you know what i mean*
*WYSIWYG  * what you see is what you get*
*XOXO  * hugs and kisses*
